Numero;Area;Idioma;Gabarito;sim_AB;sim_AC;sim_AD;sim_AE;sim_BC;sim_BD;sim_BE;sim_CD;sim_CE;sim_DE;sim_media;sim_maxima;par_mais_similar
1;Linguagens, Códigos e suas Tecnologias;Inglês;B;0.015867486596107483;0.3657609224319458;0.23004299402236938;0.25247806310653687;-0.0736875981092453;0.46699681878089905;0.019069096073508263;0.06341322511434555;0.2564689517021179;0.07659384608268738;0.16730038058012725;0.46699681878089905;BD
1;Linguagens, Códigos e suas Tecnologias;Espanhol;A;0.490630179643631;0.35902440547943115;0.6268041133880615;0.492514044046402;0.3055990934371948;0.5526378154754639;0.44718077778816223;0.467203825712204;0.6462967395782471;0.5625150203704834;0.4950406014919281;0.6462967395782471;CE
2;Linguagens, Códigos e suas Tecnologias;Inglês;D;0.3543362617492676;0.2265247404575348;0.12794393301010132;0.30229461193084717;0.38924044370651245;0.3633924424648285;0.3680429458618164;0.2916506230831146;0.48356950283050537;0.24802081286907196;0.31550163179636004;0.48356950283050537;CE
2;Linguagens, Códigos e suas Tecnologias;Espanhol;A;0.2784724533557892;0.5582044720649719;0.4045499563217163;0.4658689796924591;0.39157968759536743;0.2850084602832794;0.2760846018791199;0.4800364375114441;0.37599658966064453;0.3648463487625122;0.3880647987127304;0.5582044720649719;AC
3;Linguagens, Códigos e suas Tecnologias;Inglês;E;0.47014251351356506;0.256700336933136;0.3077436089515686;0.49022310972213745;0.40145885944366455;0.3093135356903076;0.4626271724700928;0.25876539945602417;0.5129700899124146;0.5234204530715942;0.3993365079164505;0.5234204530715942;DE
3;Linguagens, Códigos e suas Tecnologias;Espanhol;D;0.21403394639492035;0.4632110595703125;0.2809489965438843;0.3106241226196289;0.36217671632766724;0.5253978371620178;0.5112771987915039;0.27957683801651;0.34198206663131714;0.48375988006591797;0.377298866212368;0.5253978371620178;BD
4;Linguagens, Códigos e suas Tecnologias;Inglês;C;0.30351197719573975;0.5065045356750488;0.37518927454948425;0.2948605716228485;0.31233519315719604;0.3220708966255188;0.5293750166893005;0.3295486271381378;0.3786690831184387;0.38805684447288513;0.37401220202445984;0.5293750166893005;BE
4;Linguagens, Códigos e suas Tecnologias;Espanhol;C;0.14997656643390656;0.2323639839887619;0.21661505103111267;0.24284538626670837;0.6144919395446777;0.485714852809906;0.6082653999328613;0.5207158923149109;0.6310631632804871;0.5286412239074707;0.4230693459510803;0.6310631632804871;CE
5;Linguagens, Códigos e suas Tecnologias;Inglês;D;0.39049720764160156;0.7254291772842407;0.30831754207611084;0.1562761813402176;0.3742539882659912;0.6755492687225342;0.3115552067756653;0.36446207761764526;0.2620898485183716;0.4205501079559326;0.3988980606198311;0.7254291772842407;AC
5;Linguagens, Códigos e suas Tecnologias;Espanhol;E;0.5635472536087036;0.4343498945236206;0.4865468740463257;0.55042964220047;0.3750424385070801;0.4888039231300354;0.5459553599357605;0.5402957201004028;0.5971882343292236;0.7650741338729858;0.5347233474254608;0.7650741338729858;DE
6;Linguagens, Códigos e suas Tecnologias;;C;0.5187134146690369;0.5359134078025818;0.3099972903728485;0.24585223197937012;0.6205171942710876;0.3735755383968353;0.2825913429260254;0.29690495133399963;0.28070929646492004;0.6807535886764526;0.4145528256893158;0.6807535886764526;DE
7;Linguagens, Códigos e suas Tecnologias;;C;0.2938305139541626;0.6890679597854614;0.23380818963050842;0.26441243290901184;0.2918674945831299;0.5131294131278992;0.5615317821502686;0.24956291913986206;0.33807167410850525;0.6098426580429077;0.4045125037431717;0.6890679597854614;AC
8;Linguagens, Códigos e suas Tecnologias;;C;0.5321299433708191;0.634178876876831;0.7058322429656982;0.5769275426864624;0.6370391845703125;0.410497784614563;0.4192660450935364;0.6227031946182251;0.6107620596885681;0.622718095779419;0.5772054970264435;0.7058322429656982;AD
9;Linguagens, Códigos e suas Tecnologias;;D;0.428571492433548;0.49405527114868164;0.33905652165412903;0.38008058071136475;0.6199074983596802;0.34284383058547974;0.6035674810409546;0.36181604862213135;0.5140753984451294;0.5961124300956726;0.4680086553096771;0.6199074983596802;BC
10;Linguagens, Códigos e suas Tecnologias;;C;0.38862890005111694;0.42723187804222107;0.3024444580078125;0.3182210326194763;0.35410523414611816;0.49190741777420044;0.27868399024009705;0.2880207598209381;0.29592522978782654;0.27334293723106384;0.3418511837720871;0.49190741777420044;BD
